resume_text,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10
"Python developer with experience in Machine Learning, NLP, and PyTorch",1,0,1,0,1,0,0,0,0,0
"Data analyst proficient in SQL, Tableau, and Excel for financial data analysis",0,1,0,1,0,0,0,0,0,0
"Front-end engineer skilled in HTML, CSS, JavaScript, and React framework",0,0,0,0,1,1,0,0,0,0
"Machine learning engineer familiar with transformers, deep learning models, and Python",1,0,1,0,0,0,0,0,0,1
"Software engineer experienced in C++, Python, cloud deployment, and DevOps practices",1,0,0,0,0,1,1,0,0,0
"Business analyst with expertise in Excel, SQL, and PowerBI for insights and reporting",0,1,0,1,0,0,0,0,1,0
"Full-stack developer experienced in JavaScript, Node.js, React, and MongoDB",0,0,0,0,1,1,0,1,0,0
"Data scientist skilled in Python, Pandas, NumPy, and Scikit-learn for predictive modeling",1,0,1,0,0,0,0,0,0,1
"Cloud engineer proficient in AWS, Docker, Kubernetes, and CI/CD pipelines",0,0,0,0,0,1,1,0,0,1
"Research assistant with strong knowledge of NLP, deep learning, and TensorFlow",1,0,1,0,0,0,0,0,0,1
